iter	Logloss
0	0.6150893357
1	0.5524601392
2	0.500308996
3	0.4563904098
4	0.4201628634
5	0.3918442567
6	0.3651070155
7	0.3446664408
8	0.3274169763
9	0.3121724447
10	0.2989606957
11	0.2868826262
12	0.2773715655
13	0.2681629272
14	0.2588990532
15	0.2523099214
16	0.2459213348
17	0.2404541417
18	0.235404757
19	0.2316950413
20	0.2280118498
21	0.2246871169
22	0.2215981771
23	0.218791796
24	0.2164665335
25	0.21375604
26	0.211406397
27	0.2093034058
28	0.2071860841
29	0.2056222538
30	0.2040893321
31	0.2029416247
32	0.2013052387
33	0.1998811585
34	0.1989539784
35	0.1979450352
36	0.1963843674
37	0.1952269512
38	0.1940494857
39	0.1929728693
40	0.1918683885
41	0.1907622009
42	0.1899221255
43	0.1889282466
44	0.1877927521
45	0.1867900261
46	0.1862620368
47	0.1853267844
48	0.1846338327
49	0.1836325615
50	0.1825328161
51	0.1818596284
52	0.1811667009
53	0.1803133198
54	0.1796709987
55	0.179069218
56	0.1786469514
57	0.1782157709
58	0.1777382743
59	0.1769621687
60	0.1764717109
61	0.1755174867
62	0.175086469
63	0.1745908267
64	0.1739546328
65	0.1730847049
66	0.1725652926
67	0.1723292522
68	0.1715766308
69	0.1707150761
70	0.1699154586
71	0.1692598491
72	0.1688022295
73	0.1678790053
74	0.1676487414
75	0.1669675335
76	0.1665725455
77	0.1659518097
78	0.1653995785
79	0.1651098607
80	0.1649083183
81	0.1645517313
82	0.16430256
83	0.1637586675
84	0.1632839939
85	0.1628496898
86	0.1625743905
87	0.161894295
88	0.1614952025
89	0.1611004727
90	0.1606324109
91	0.160127355
92	0.1599063688
93	0.1595040187
94	0.159085355
95	0.1587790293
96	0.1584007423
97	0.1579807513
98	0.1575024671
99	0.1572755901
100	0.1571090948
101	0.156785554
102	0.1565224089
103	0.1559210361
104	0.1555716029
105	0.154979979
106	0.1542990105
107	0.1541422022
108	0.1535132445
109	0.1530499822
110	0.1526960561
111	0.1524779427
112	0.152038952
113	0.1514630761
114	0.1511574746
115	0.1508472408
116	0.1504080695
117	0.1499914823
118	0.1495579977
119	0.1491960035
120	0.1487331171
121	0.1485198104
122	0.148160743
123	0.1477826677
124	0.1475482889
125	0.1469346494
126	0.146629333
127	0.1463111268
128	0.145941136
129	0.1454490678
130	0.1451540976
131	0.1447385231
132	0.144513202
133	0.144111192
134	0.1437488755
135	0.1435678705
136	0.143294998
137	0.1429607183
138	0.1427226717
139	0.1424226096
140	0.1420193755
141	0.1416485546
142	0.1413725335
143	0.1409337875
144	0.1407194373
145	0.1404708217
146	0.1400239643
147	0.1395368674
148	0.1392120409
149	0.1389204117
150	0.1386351527
151	0.138406345
152	0.1380078575
153	0.1376840351
154	0.1375788776
155	0.1373348191
156	0.1370462424
157	0.1368142043
158	0.1365082756
159	0.1363704278
160	0.1361779157
161	0.1358287033
162	0.1356656745
163	0.1354622238
164	0.1352936128
165	0.1350565165
166	0.13484861
167	0.1343988535
168	0.134048511
169	0.1337867112
170	0.1335394183
171	0.1331911188
172	0.1328830987
173	0.1325848532
174	0.1323086956
175	0.1320082417
176	0.1317955335
177	0.1316196445
178	0.1314229268
179	0.1311950588
180	0.1310053901
181	0.1306905413
182	0.1304996149
183	0.1302032788
184	0.1299479035
185	0.1297104206
186	0.1294916738
187	0.1289960119
188	0.1287581264
189	0.1285627456
190	0.1282955569
191	0.1280204129
192	0.1276973591
193	0.127514024
194	0.1273603468
195	0.127227813
196	0.1270786319
197	0.1267147214
198	0.1263783343
199	0.1262167611
200	0.1259174822
201	0.125461629
202	0.1252513026
203	0.1250680922
204	0.124778832
205	0.1246790657
206	0.124473784
207	0.1240173771
208	0.1239101581
209	0.1236532804
210	0.1234069538
211	0.1231344952
212	0.1229729677
213	0.1227154142
214	0.1224569696
215	0.1223927154
216	0.1222799541
217	0.1220582679
218	0.121836483
219	0.1215037319
220	0.1212628453
221	0.1210112141
222	0.1208118793
223	0.1206103188
224	0.1204521878
225	0.1203081544
226	0.1201545384
227	0.1199622503
228	0.1197418966
229	0.119406631
230	0.1192279758
231	0.1190797021
232	0.1188997044
233	0.1186262084
234	0.1184572614
235	0.1183150984
236	0.1182236649
237	0.1180408921
238	0.1179001854
239	0.1176286947
240	0.1173983688
241	0.1172125557
242	0.117029776
243	0.1168682192
244	0.1167853688
245	0.1165967223
246	0.1163982607
247	0.1162192426
248	0.116047493
249	0.1159076318
250	0.1157254401
251	0.1156061733
252	0.1154594508
253	0.1153352033
254	0.1152240689
255	0.1150480502
256	0.1149003258
257	0.1148309899
258	0.1146717918
259	0.1142707003
260	0.1140071657
261	0.1138348611
262	0.1136543458
263	0.1134082542
264	0.1133237025
265	0.1131204109
266	0.1130486813
267	0.112933078
268	0.1127444421
269	0.1124955037
270	0.1123745907
271	0.1122108563
272	0.11202498
273	0.1117464549
274	0.1116482321
275	0.1114428492
276	0.1113722674
277	0.1111641147
278	0.1108997029
279	0.1106872446
280	0.1105194179
281	0.1103153789
282	0.1101111462
283	0.1099166335
284	0.1097517721
285	0.1095811734
286	0.1094430289
287	0.1092728672
288	0.1090937138
289	0.1087903284
290	0.1086417379
291	0.1084836093
292	0.1082711656
293	0.1080181888
294	0.1078212042
295	0.1077218397
296	0.1076195406
297	0.1074801482
298	0.1074222546
299	0.1072347903
300	0.1069727238
301	0.1068482852
302	0.1066218843
303	0.1064412419
304	0.1062748474
305	0.1061830451
306	0.1060006964
307	0.1058231159
308	0.1057530018
309	0.1056109024
310	0.1054563275
311	0.1053050337
312	0.1051540456
313	0.105033428
314	0.1049911589
315	0.1048404681
316	0.1047088891
317	0.1045510827
318	0.104387612
319	0.1041813287
320	0.1040377
321	0.1039354415
322	0.1038492266
323	0.103750988
324	0.1036131396
325	0.1034915405
326	0.103358975
327	0.103215914
328	0.1031069472
329	0.1029279082
330	0.1028480595
331	0.1026991403
332	0.1025817607
333	0.1025269696
334	0.1023963919
335	0.1022463645
336	0.1021023309
337	0.1019783607
338	0.1018751988
339	0.1017556075
340	0.1016721062
341	0.1015581396
342	0.1014122702
343	0.101338587
344	0.1012292748
345	0.1010847492
346	0.100950935
347	0.1008001432
348	0.1006627525
349	0.1005158852
350	0.1004168116
351	0.1003155536
352	0.1002128778
353	0.1001009811
354	0.1000020528
355	0.0998816455
356	0.09979212563
357	0.09965793061
358	0.09954924591
359	0.09942304547
360	0.09931184371
361	0.09925768683
362	0.09920888148
363	0.0990867304
364	0.09902433178
365	0.09893651347
366	0.09880364063
367	0.09868526971
368	0.09856444469
369	0.09851269548
370	0.098448198
371	0.09827815589
372	0.0981970096
373	0.09809617665
374	0.09799876221
375	0.09780738094
376	0.09768820686
377	0.09766145023
378	0.09762021955
379	0.09752324998
380	0.0974139341
381	0.09737955672
382	0.09731469534
383	0.09719099608
384	0.09712298356
385	0.09709613426
386	0.09702832735
387	0.0969570344
388	0.09683432511
389	0.09672920345
390	0.0966361459
391	0.09652848637
392	0.0962946588
393	0.09620155915
394	0.09605453411
395	0.09595377071
396	0.09573957063
397	0.09561504177
398	0.09550303446
399	0.09536428655
400	0.09526395189
401	0.09516892724
402	0.0950369845
403	0.09497466606
404	0.09488794538
405	0.09478167346
406	0.09462045149
407	0.09450161995
408	0.09442271424
409	0.09437901073
410	0.09425788421
411	0.0941103583
412	0.09400860626
413	0.09391878684
414	0.0937939375
415	0.09366456773
416	0.0935654163
417	0.09354147003
418	0.0934558929
419	0.09337228914
420	0.09326930036
421	0.09313984209
422	0.09309080053
423	0.09298512357
424	0.09288146091
425	0.09279598049
426	0.09266335944
427	0.09258845531
428	0.0924416132
429	0.09228348935
430	0.09225617309
431	0.09219870377
432	0.09211205065
433	0.09192727831
434	0.09183832717
435	0.09172413136
436	0.09159206629
437	0.09153869645
438	0.09151861514
439	0.0914387934
440	0.09137042099
441	0.09125029649
442	0.09117879985
443	0.09110952441
444	0.09103045795
445	0.09094524181
446	0.09087095274
447	0.09074604444
448	0.09062546672
449	0.09061674805
450	0.09052016821
451	0.09044609869
452	0.09036340502
453	0.0902132984
454	0.09017714539
455	0.09010861568
456	0.08996992463
457	0.08989412811
458	0.08985015762
459	0.08981292738
460	0.08962184105
461	0.08952516427
462	0.08943447979
463	0.08934293365
464	0.08925175781
465	0.08917548107
466	0.08910723277
467	0.08899797054
468	0.08893028909
469	0.08885058971
470	0.08873073042
471	0.08863712665
472	0.08843510969
473	0.08835755804
474	0.08830060156
475	0.08824206202
476	0.08814789391
477	0.08806448717
478	0.08792472578
479	0.08782698737
480	0.08772071237
481	0.08759980099
482	0.08743242678
483	0.08734335483
484	0.0872686053
485	0.08718003016
486	0.0870918882
487	0.08699418973
488	0.08694626546
489	0.08686009821
490	0.08677530879
491	0.08672678748
492	0.08663645938
493	0.08651900942
494	0.08643068664
495	0.08638816325
496	0.0862767918
497	0.08619949182
498	0.08611564278
499	0.08604548154
500	0.08594987994
501	0.08587475901
502	0.08580123341
503	0.08572390411
504	0.08564808193
505	0.08556645688
506	0.08553278441
507	0.08550060109
508	0.0853878605
509	0.08530556118
510	0.0851784474
511	0.08509759906
512	0.08506186676
513	0.08487596355
514	0.08477445294
515	0.08469022509
516	0.08453940281
517	0.08450125541
518	0.08438164807
519	0.08426482311
520	0.08421726695
521	0.08413761553
522	0.08405497275
523	0.08400909748
524	0.08393723342
525	0.08386340695
526	0.08379064977
527	0.08369051906
528	0.08354615228
529	0.08346634725
530	0.08340370441
531	0.08337112138
532	0.08329852164
533	0.08322185664
534	0.08316635045
535	0.08307351527
536	0.08300142372
537	0.08289616664
538	0.08284086089
539	0.08276283774
540	0.08273213722
541	0.08268016339
542	0.08261089806
543	0.08250705549
544	0.08248199705
545	0.0824190684
546	0.08235351001
547	0.08227073691
548	0.08220349475
549	0.08212013742
550	0.08205423042
551	0.08200739455
552	0.08191014347
553	0.08181153845
554	0.08172277676
555	0.0816770372
556	0.08162197138
557	0.08153733465
558	0.08150327224
559	0.08142953244
560	0.08137880321
561	0.08132560567
562	0.08125659179
563	0.08117178652
564	0.08110531534
565	0.08103250205
566	0.0809704208
567	0.08094468813
568	0.08085162776
569	0.08073240535
570	0.08067691464
571	0.08060629078
572	0.08052330663
573	0.08049391863
574	0.08040193792
575	0.08023769613
576	0.08017104504
577	0.08010884542
578	0.08003208555
579	0.07997751543
580	0.07992225202
581	0.07982610038
582	0.07976135249
583	0.0797015748
584	0.07968071497
585	0.0796191874
586	0.07956881551
587	0.07948507257
588	0.07944949066
589	0.07941662627
590	0.07936063023
591	0.07928386485
592	0.07919185564
593	0.07912586973
594	0.07903647482
595	0.07895271308
596	0.07891663179
597	0.0788492392
598	0.07877308498
599	0.07873147547
600	0.07861626286
601	0.07855706289
602	0.07847099601
603	0.07838849072
604	0.07833872829
605	0.07828055594
606	0.07809368292
607	0.07801268288
608	0.07785289215
609	0.07779623076
610	0.07774061069
611	0.07764671987
612	0.07758239586
613	0.07753062268
614	0.07745902906
615	0.0773971951
616	0.07730751185
617	0.07723374889
618	0.07715082159
619	0.07710400796
620	0.07704497095
621	0.07702228179
622	0.07691552504
623	0.07686404121
624	0.07679247258
625	0.07671369696
626	0.07665467392
627	0.07657886552
628	0.07649256784
629	0.07640553902
630	0.07633959663
631	0.07628565135
632	0.07622012434
633	0.07613720703
634	0.07608330998
635	0.07603842142
636	0.07597266692
637	0.07593979476
638	0.07586989469
639	0.07584273402
640	0.07578694923
641	0.07574145147
642	0.07561566245
643	0.07553692026
644	0.07549139506
645	0.07540032541
646	0.07533257692
647	0.07530183979
648	0.0752845539
649	0.07522790081
650	0.07513115787
651	0.07507974571
652	0.07505961269
653	0.0749949435
654	0.07492866359
655	0.07487420384
656	0.07479061042
657	0.0747478415
658	0.07468579527
659	0.07465721794
660	0.07459559644
661	0.07458224137
662	0.07451806263
663	0.0744891533
664	0.07444719617
665	0.07441567921
666	0.07434633844
667	0.0743189126
668	0.0742176127
669	0.07415312588
670	0.07410264274
671	0.074030396
672	0.07397858864
673	0.07393763698
674	0.07389039574
675	0.07385309855
676	0.07380696327
677	0.07372756799
678	0.07362006591
679	0.07355423606
680	0.0734904548
681	0.07342453084
682	0.07338957023
683	0.0733651242
684	0.07326128256
685	0.07314683208
686	0.07307683238
687	0.07305088679
688	0.07299643128
689	0.07294195501
690	0.07290169912
691	0.07284128229
692	0.07279194817
693	0.07270303475
694	0.07267163138
695	0.07263216028
696	0.07256452055
697	0.07244863175
698	0.07237722382
699	0.07233449032
700	0.07232043395
701	0.0722568648
702	0.07220449004
703	0.07215561765
704	0.07207556335
705	0.07200272299
706	0.0719381398
707	0.07186964252
708	0.07183307585
709	0.0717741119
710	0.07168474767
711	0.07162700275
712	0.07158207354
713	0.07153111595
714	0.07148135824
715	0.07145325079
716	0.0714170523
717	0.07134696334
718	0.07127250553
719	0.07121859794
720	0.0711551128
721	0.07113241886
722	0.07103124846
723	0.07097507067
724	0.07090992491
725	0.07080885638
726	0.070769063
727	0.07071579936
728	0.07065920805
729	0.07058737978
730	0.0704984858
731	0.07045604182
732	0.0704302685
733	0.07041057261
734	0.0703439999
735	0.07030959628
736	0.07025937496
737	0.07018442591
738	0.07014673573
739	0.07011455828
740	0.07008864952
741	0.07002417272
742	0.0699946648
743	0.06994872192
744	0.06988837536
745	0.06984668198
746	0.06979378329
747	0.06971328814
748	0.06963238698
749	0.0695793435
750	0.06952922129
751	0.06950802823
752	0.06947035892
753	0.06939332547
754	0.06933882959
755	0.06930132053
756	0.06925268152
757	0.06922505596
758	0.06916565348
759	0.06909404032
760	0.06904990145
761	0.0690149901
762	0.06892345372
763	0.06887971937
764	0.0688169179
765	0.06879329098
766	0.06871006171
767	0.06867447956
768	0.06866196998
769	0.06862707939
770	0.06858598098
771	0.06853113468
772	0.06849342325
773	0.0684280311
774	0.06838875964
775	0.06832283693
776	0.06831444899
777	0.06829813014
778	0.06824396707
779	0.06817678919
780	0.06815285693
781	0.06812551414
782	0.0680449046
783	0.06798749677
784	0.06797983212
785	0.06793828665
786	0.06780940295
787	0.06777186358
788	0.06768796304
789	0.06766823696
790	0.06761159255
791	0.06756870767
792	0.0675019672
793	0.06746421241
794	0.0674009411
795	0.06738210472
796	0.06731221609
797	0.06726088632
798	0.06722517491
799	0.06718910171
800	0.06714728462
801	0.06713819753
802	0.06707709742
803	0.06698829608
804	0.06695921598
805	0.06693127024
806	0.06690862112
807	0.06681225669
808	0.06670516142
809	0.06668737144
810	0.0666134769
811	0.06655935686
812	0.066484458
813	0.0664212273
814	0.06639602461
815	0.06637360651
816	0.06631089898
817	0.0662608542
818	0.06622309352
819	0.06617942424
820	0.06611660841
821	0.06608023749
822	0.06601469934
823	0.0659852002
824	0.06593322831
825	0.06590998026
826	0.06588987601
827	0.06583168412
828	0.06579988217
829	0.06576142941
830	0.06575028872
831	0.06568153753
832	0.06561105981
833	0.06555252573
834	0.06550813744
835	0.06547653066
836	0.0654419023
837	0.06540325618
838	0.065342477
839	0.06532630655
840	0.06530627396
841	0.06527136685
842	0.06524520983
843	0.0651897963
844	0.06515162205
845	0.06511692901
846	0.0650637429
847	0.06497155999
848	0.06484346555
849	0.06477762735
850	0.06472036029
851	0.06466636273
852	0.06464630989
853	0.06461217835
854	0.06457406802
855	0.06454538514
856	0.06452848543
857	0.06449997391
858	0.06444417217
859	0.06442542741
860	0.06438039018
861	0.06434413767
862	0.06430347107
863	0.06425011357
864	0.06420710363
865	0.06417500309
866	0.06410841231
867	0.06409430387
868	0.06405624261
869	0.06399814934
870	0.06396805812
871	0.06391689471
872	0.06386677186
873	0.0638483974
874	0.06381206602
875	0.06379220387
876	0.06371117588
877	0.0636139539
878	0.06355846178
879	0.06346674197
880	0.06340093748
881	0.06337091452
882	0.06333559985
883	0.06330688955
884	0.06326641458
885	0.06322505095
886	0.06321167114
887	0.06316047723
888	0.06311161674
889	0.06301579478
890	0.06296630218
891	0.06292196355
892	0.06287955339
893	0.06286285601
894	0.06284253201
895	0.06280828762
896	0.06276054526
897	0.06273634805
898	0.06272670762
899	0.062673598
900	0.06263675002
901	0.06259442642
902	0.06255778433
903	0.06251970075
904	0.06247217655
905	0.0624339008
906	0.06238938451
907	0.0623731377
908	0.06233097549
909	0.06230794262
910	0.06227835279
911	0.06222005883
912	0.0621618202
913	0.06210825942
914	0.06206422635
915	0.0619737853
916	0.06191888389
917	0.06188035438
918	0.06186263966
919	0.06183273846
920	0.06178447031
921	0.06174162687
922	0.06171194433
923	0.06169701558
924	0.06163694789
925	0.06156740381
926	0.06153657964
927	0.06147020947
928	0.06140834713
929	0.0613114641
930	0.06124392809
931	0.06123573344
932	0.06122023628
933	0.06115720213
934	0.06113198541
935	0.06110836296
936	0.06107999775
937	0.06104045614
938	0.06101831522
939	0.06097334725
940	0.06093117359
941	0.06089394167
942	0.06084624579
943	0.06082222297
944	0.06080898997
945	0.06079330569
946	0.06077047165
947	0.06073130126
948	0.06072403191
949	0.06068517438
950	0.06066263251
951	0.06060937622
952	0.06057563496
953	0.06054457397
954	0.06052180213
955	0.06049640688
956	0.06048257697
957	0.0604723882
958	0.06043080409
959	0.06037533347
960	0.06030375906
961	0.06026944347
962	0.06023705807
963	0.06017747652
964	0.06015220664
965	0.06010404422
966	0.06002268244
967	0.05999433528
968	0.05994700291
969	0.05990015202
970	0.05985566344
971	0.05984235786
972	0.05980472692
973	0.05976854145
974	0.05972758877
975	0.05968589819
976	0.05964821456
977	0.05963208585
978	0.05958723708
979	0.05956226283
980	0.05953073785
981	0.0595192997
982	0.05948445781
983	0.05944406731
984	0.05941234023
985	0.05936371018
986	0.05930233562
987	0.05927433716
988	0.0592468432
989	0.05921230048
990	0.05917112307
991	0.05915419486
992	0.05913522137
993	0.05909669627
994	0.05907559343
995	0.05901927541
996	0.05901010313
997	0.05898008137
998	0.0589323929
999	0.05890539785
