iter	Passed	Remaining
0	19	19823
1	39	19678
2	58	19281
3	75	18848
4	93	18542
5	111	18407
6	128	18239
7	149	18596
8	171	18862
9	189	18787
10	207	18613
11	224	18518
12	243	18463
13	260	18329
14	278	18311
15	295	18163
16	313	18111
17	330	18053
18	348	17985
19	365	17933
20	383	17876
21	400	17812
22	417	17745
23	436	17753
24	453	17685
25	471	17647
26	488	17621
27	506	17597
28	524	17558
29	541	17500
30	559	17483
31	576	17453
32	594	17417
33	612	17389
34	629	17355
35	646	17308
36	663	17276
37	681	17261
38	699	17226
39	717	17219
40	735	17195
41	752	17165
42	769	17119
43	787	17102
44	805	17085
45	822	17052
46	838	17007
47	855	16968
48	872	16927
49	890	16919
50	908	16906
51	926	16895
52	945	16891
53	963	16878
54	984	16909
55	1002	16897
56	1019	16859
57	1035	16818
58	1052	16791
59	1072	16807
60	1089	16773
61	1107	16758
62	1124	16728
63	1143	16716
64	1160	16697
65	1179	16689
66	1197	16673
67	1214	16639
68	1232	16636
69	1250	16619
70	1268	16597
71	1287	16600
72	1305	16578
73	1323	16560
74	1339	16525
75	1357	16504
76	1375	16486
77	1393	16469
78	1411	16460
79	1429	16434
80	1445	16401
81	1464	16397
82	1482	16373
83	1500	16362
84	1519	16354
85	1537	16339
86	1554	16315
87	1572	16299
88	1589	16273
89	1607	16255
90	1624	16229
91	1644	16229
92	1661	16200
93	1678	16179
94	1696	16164
95	1714	16145
96	1732	16125
97	1748	16096
98	1768	16092
99	1785	16068
100	1802	16041
101	1819	16018
102	1836	15996
103	1855	15987
104	1872	15961
105	1890	15948
106	1909	15935
107	1926	15912
108	1945	15902
109	1963	15886
110	1983	15888
111	2001	15867
112	2019	15850
113	2037	15837
114	2054	15810
115	2071	15784
116	2091	15781
117	2108	15763
118	2127	15750
119	2146	15740
120	2165	15729
121	2182	15706
122	2200	15693
123	2218	15673
124	2236	15654
125	2255	15644
126	2273	15624
127	2290	15605
128	2308	15589
129	2326	15572
130	2343	15547
131	2362	15536
132	2380	15515
133	2398	15500
134	2416	15485
135	2434	15466
